pays;code;tx.fecondite;c1;dpce.age;c2;tx.emploi;c3;productivite;c4;pib
Algeria;DZA;2,7;-0,4;-1,1;-0,4;0,4;-1,1;-0,5;-2,3;1,1
Angola;AGO;0,0;0,9;0,0;9,9;0,1;17,5;2,6;1,1;2,8
Benin;BEN;0,2;-1,6;-0,3;0,1;0,0;-36,9;0,9;1,3;1,2
Botswana;BWA;2,0;-0,5;-0,9;-0,3;0,3;7,5;1,9;1,6;3,1
Burkina Faso;BFA;-0,1;1,2;-0,2;2,4;-0,4;-6,6;2,7;0,9;2,5
Burundi;BDI;-0,1;3,8;-0,4;0,7;-0,3;3,1;-0,8;0,9;-0,7
Cameroon;CMR;0,0;6,9;-0,3;-0,9;0,3;-1,8;-0,5;-0,2;0,1
Cape Verde;CPV;1,5;-0,7;-1,1;-0,3;0,3;8,6;2,9;1,5;4,3
Central African Republic;CAF;0,2;-1,3;-0,2;-0,1;0,0;-29,5;-0,7;0,6;-0,4
Chad;TCD;-0,5;-0,1;0,1;1,2;0,1;45,7;2,8;1,0;2,9
Comoros;COM;1,5;-0,3;-0,5;-0,3;0,2;-9,7;-1,5;0,6;-0,9
Congo;COG;1,0;-0,1;-0,2;-2,6;0,4;-0,5;-0,2;-1,7;0,3
Cote d'Ivoire;CIV;1,4;-0,1;-0,1;0,9;-0,1;7,7;-0,5;1,0;-0,5
Democratic Republic of the Congo;COD;-0,7;-0,1;0,1;3,1;0,2;-14,2;-3,3;1,0;-3,2
Djibouti;DJI;0,7;-1,2;-0,8;-0,4;0,3;-1,8;-0,5;-1,0;0,6
Egypt;EGY;1,5;-0,5;-0,7;0,4;-0,3;-9,2;2,5;1,2;2,9
Equatorial Guinea;GNQ;-0,2;-0,2;0,1;-0,7;0,0;-413,2;14,9;1,0;14,8
Ethiopia;ETH;-0,1;1,8;-0,2;-0,3;0,0;50,6;2,5;1,1;2,7
Gabon;GAB;0,0;36,2;-0,4;0,3;-0,1;8,1;-1,0;0,7;-0,7
Gambia;GMB;0,2;0,0;0,0;108,9;0,2;1,8;0,4;1,6;0,7
Ghana;GHA;1,2;-0,3;-0,3;-1,1;0,4;4,4;1,6;1,5;2,3
Guinea;GIN;-0,2;0,3;-0,1;-1,2;0,1;3,1;0,3;1,6;0,4
Guinea-Bissau;GNB;0,2;-1,7;-0,3;-0,3;0,1;-6,7;-0,7;0,4;-0,3
Kenya;KEN;1,6;-0,4;-0,6;1,1;-0,7;-0,4;0,3;0,7;0,2
Lesotho;LSO;1,0;-0,5;-0,5;1,1;-0,6;-4,0;2,3;1,0;2,3
Liberia;LBR;0,4;-0,4;-0,1;-0,8;0,1;-10,3;-1,2;0,8;-0,9
Madagascar;MDG;0,9;-0,2;-0,2;-0,4;0,1;-14,5;-1,1;0,8;-0,9
Malawi;MWI;0,4;0,2;0,1;3,7;0,3;3,1;1,0;1,2;1,3
Mali;MLI;-0,1;0,7;-0,1;-4,4;0,3;5,2;1,5;1,2;1,8
Mauritania;MRT;0,7;-0,5;-0,3;-2,2;0,7;0,0;0,0;52,9;1,0
Mauritius;MUS;2,1;-0,1;-0,3;-0,5;0,1;20,7;2,9;1,2;3,4
Morocco;MAR;2,6;-0,3;-0,7;0,4;-0,3;-6,0;1,8;1,3;2,2
Mozambique;MOZ;0,3;-0,4;-0,1;-1,3;0,2;21,3;3,7;1,1;4,1
Namibia;NAM;1,5;-0,3;-0,5;-1,6;0,8;0,8;0,6;2,9;1,9
Niger;NER;-0,2;-1,6;0,2;3,7;0,9;-0,6;-0,6;-0,1;0,1
Nigeria;NGA;0,2;-0,5;-0,1;1,8;-0,2;-15,6;2,7;1,0;2,7
Rwanda;RWA;0,9;-0,7;-0,6;0,4;-0,2;-6,3;1,5;1,3;1,9
Sao Tome and Principe;STP;1,2;-0,4;-0,5;-0,4;0,2;3,7;0,8;2,0;1,5
Senegal;SEN;0,7;-0,4;-0,3;-0,6;0,2;1,4;0,3;2,9;0,8
Sierra Leone;SLE;0,4;-0,3;-0,1;0,5;-0,1;27,1;-1,6;1,0;-1,6
South Africa;ZAF;2,2;-0,2;-0,5;-2,1;1,0;-0,5;-0,5;-2,2;1,0
Sudan;SDN;0,7;-0,4;-0,3;-1,2;0,3;8,4;2,8;1,2;3,4
Swaziland;SWZ;1,1;-0,7;-0,8;0,6;-0,5;-1,4;0,6;1,5;1,0
Tanzania;TZA;0,5;-0,1;0,0;-0,3;0,0;203,7;2,4;1,0;2,5
Togo;TGO;0,9;-0,4;-0,3;-1,6;0,5;-3,3;-1,8;0,5;-0,9
Tunisia;TUN;3,4;-0,3;-0,8;-0,2;0,1;15,8;2,2;1,5;3,2
Uganda;UGA;0,0;10,6;0,1;-3,4;-0,3;-15,7;4,0;0,9;3,6
Zambia;ZMB;0,9;-0,1;-0,1;5,9;-0,3;-2,0;0,7;0,6;0,4
Zimbabwe;ZWE;2,2;-0,2;-0,4;-3,1;1,2;-2,2;-2,6;0,4;-1,1