pays;code;txfec;c1;dpce.demo;c2;dpce.reel;c3;resource;c4;tbs
Africa;;15,38;0,52;0,54;1,73;0,94;2,76;1,86;1,35;2,52
Algeria;DZA;50,12;0,73;3,11;1,36;4,23;0,91;3,84;0,75;2,88
Angola;AGO;2,36;1,87;0,28;0,29;0,08;81,06;6,54;0,84;5,52
Benin;BEN;9,41;0,78;0,48;1,02;0,49;8,80;4,32;1,70;7,35
Botswana;BWA;35,84;0,73;2,00;1,27;2,54;2,71;6,89;0,34;2,35
Burkina Faso;BFA;7,23;1,12;0,52;0,91;0,48;13,00;6,21;1,00;6,19
Burundi;BDI;5,04;6,42;2,07;0,83;1,72;4,25;7,28;1,01;7,38
Cameroon;CMR;16,28;0,87;0,96;1,23;1,19;3,14;3,74;1,05;3,92
Cape Verde;CPV;28,63;1,42;2,97;1,11;3,30;2,54;8,37;0,80;6,69
Central African Republic;CAF;6,01;1,38;0,54;1,05;0,56;-4,36;-2,44;-1,74;4,25
Chad;TCD;1,82;2,01;0,23;0,92;0,21;25,00;5,30;1,37;7,24
Comoros;COM;26,41;0,19;0,35;2,21;0,78;0,00;0,00;0,00;6,30
Congo;COG;17,51;0,43;0,51;1,60;0,82;-5,61;-4,59;-0,37;1,70
Cote d'Ivoire;CIV;26,64;0,17;0,33;1,06;0,35;-0,28;-0,10;-54,51;5,34
Democratic Republic of the Congo;COD;-8,20;-0,84;0,42;0,93;0,39;15,55;6,02;0,37;2,24
Djibouti;DJI;17,95;1,41;1,73;;;;0,57;11,98;6,80
Egypt;EGY;31,81;0,69;1,64;1,25;2,06;2,01;4,13;0,05;0,22
Equatorial Guinea;GNQ;-2,95;-5,22;0,95;0,94;0,89;9,61;8,54;-0,50;-4,25
Eritrea;ERI;9,58;2,17;1,36;1,25;1,70;-0,72;-1,23;-4,42;5,43
Ethiopia;ETH;0,47;33,87;0,99;1,40;1,39;1,98;2,74;2,82;7,72
Gabon;GAB;7,66;3,75;1,86;0,95;1,77;0,54;0,96;3,47;3,34
Gambia;GMB;6,38;1,82;0,75;1,03;0,77;1,12;0,86;6,97;6,02
Ghana;GHA;22,65;0,55;0,88;1,13;0,99;;;;3,21
Guinea;GIN;7,91;0,80;0,41;1,15;0,48;;;;7,05
Guinea-Bissau;GNB;0,16;71,12;0,70;1,48;1,04;;;;10,94
Kenya;KEN;29,56;0,48;1,03;0,58;0,59;2,35;1,39;3,08;4,29
Lesotho;LSO;18,63;1,14;1,46;0,98;1,43;3,52;5,05;0,54;2,73
Liberia;LBR;11,80;0,28;0,22;1,74;0,38;;;;2,61
Libya;LBY;51,56;0,38;1,70;1,42;2,43;1,64;3,98;0,00;0,00
Madagascar;MDG;7,91;0,68;0,35;1,13;0,39;5,21;2,04;1,71;3,49
Malawi;MWI;14,90;-0,28;-0,28;-0,55;0,16;16,94;2,64;0,78;2,07
Mali;MLI;1,29;2,44;0,20;2,13;0,42;14,64;6,17;1,37;8,46
Mauritania;MRT;12,91;1,19;1,02;1,65;1,69;1,25;2,12;1,37;2,92
Mauritius;MUS;19,91;0,85;1,16;1,10;1,28;3,17;4,05;0,48;1,95
Morocco;MAR;41,83;0,65;2,15;0,85;1,83;2,99;5,49;0,59;3,26
Mozambique;MOZ;7,66;-0,04;-0,02;-3,25;0,06;90,76;5,50;1,48;8,12
Namibia;NAM;28,85;0,64;1,34;0,44;0,59;3,80;2,23;0,54;1,19
Niger;NER;-0,08;39,76;-0,19;-1,74;0,34;;;;4,61
Nigeria;NGA;10,14;0,35;0,23;0,43;0,10;;;;3,93
Rwanda;RWA;26,82;0,70;1,35;0,92;1,24;4,70;5,80;0,94;5,47
Sao Tome and Principe;STP;22,34;0,79;1,24;;;;;;2,09
Senegal;SEN;18,40;0,51;0,64;1,11;0,72;5,16;3,69;1,54;5,70
Seychelles;SYC;40,87;0,65;2,11;;;;;;-0,04
Sierra Leone;SLE;-5,43;0,16;-0,05;-2,47;0,13;29,41;3,86;;
Somalia;SOM;5,22;-1,20;-0,40;0,76;-0,31;;;;
South Africa;ZAF;35,02;0,47;1,24;0,64;0,80;1,97;1,57;0,57;0,90
South Sudan;SSD;20,73;0,20;0,28;;;;;;
Sub-Saharan Africa;;11,37;0,62;0,46;1,16;0,54;0,66;0,36;9,06;3,23
Sudan;SDN;12,01;0,83;0,66;1,39;0,92;-0,46;-0,42;-9,46;4,02
Swaziland;SWZ;26,90;1,11;2,16;0,95;2,06;1,89;3,89;0,33;1,30
Tanzania;TZA;11,57;0,09;0,07;2,13;0,15;21,24;3,19;3,69;11,78
Togo;TGO;21,14;0,82;1,20;1,23;1,48;0,97;1,43;3,73;5,34
Tunisia;TUN;49,86;0,62;2,62;0,99;2,60;2,31;6,01;0,47;2,84
Uganda;UGA;1,15;0,91;0,07;-5,62;-0,37;-16,59;6,16;1,05;6,45
World;;22,00;0,67;1,04;0,85;0,88;3,22;2,83;0,50;1,40
Zambia;ZMB;13,26;-0,36;-0,32;0,58;-0,19;9,08;-1,69;;
Zimbabwe;ZWE;38,42;0,37;1,11;1,93;2,15;;;;